term,source,notes
pornhub,https://en.wikipedia.org/wiki/Pornhub,"International pornographic video platform; commonly filtered in youth protection contexts."
onlyfans,https://en.wikipedia.org/wiki/OnlyFans,"Subscription-based adult content service referenced in Jugendschutz guidelines."
xvideos,https://en.wikipedia.org/wiki/XVideos,"Adult video sharing site listed among major pornographic services."
redtube,https://en.wikipedia.org/wiki/RedTube,"Pornographic video streaming portal."
cam4,https://en.wikipedia.org/wiki/Cam4,"Live webcam site categorized as adult entertainment."
xnxx,https://en.wikipedia.org/wiki/XNXX,"Großer Anbieter für pornografische Streaming-Inhalte."
youporn,https://en.wikipedia.org/wiki/YouPorn,"Pornografisches Videoportal mit großer Reichweite."
brazzers,https://en.wikipedia.org/wiki/Brazzers,"Kommerzielle Marke für Erwachsenenunterhaltung."
chaturbate,https://en.wikipedia.org/wiki/Chaturbate,"Live-Streaming-Plattform für Erwachsenen-Inhalte."
livejasmin,https://en.wikipedia.org/wiki/LiveJasmin,"Live-Cam-Plattform im Erwachsenenbereich."
