term,source,notes
neger,https://www.dw.com/de/warum-das-n-wort-rassistisch-ist/a-56702067,"Historisch belasteter rassistischer Ausdruck laut Deutscher Welle."
zigeuner,https://www.sintiundroma.de/antiziganismus/zigeuner-ist-und-bleibt-eine-beleidigung/,"Zentralrat Deutscher Sinti und Roma ordnet den Begriff als diskriminierend ein."
kanake,https://www.bpb.de/shop/zeitschriften/apuz/32463/kanak-attack/,"Bundeszentrale für politische Bildung beschreibt die Nutzung als fremdenfeindliche Beschimpfung."
schwarzfahrer,https://www.amnesty.de/informieren/hintergrund/rassismus/warum-der-begriff-schwarzfahren-rassistisch-ist,"Amnesty International erklärt den Begriff als rassistisch konnotiert."
spast,https://www.aktion-mensch.de/magazin/gesellschaft-und-vielfalt/sprache/warum-das-wort-spasti-nicht-ok-ist,"Aktion Mensch stuft den Ausdruck als behindertenfeindliche Beleidigung ein."
schwuchtel,https://www.duden.de/rechtschreibung/schwuchtel,"Duden markiert den Ausdruck als derb abwertend gegenüber homosexuellen Männern."
krüppel,https://www.duden.de/rechtschreibung/Kruppel,"Duden kennzeichnet den Begriff als abwertend für Menschen mit Behinderung."
missgeburt,https://www.duden.de/rechtschreibung/Missgeburt,"Duden weist die Nutzung als beleidigend aus."
tunte,https://www.duden.de/rechtschreibung/Tunte,"Duden beschreibt den Begriff als abwertend."
fotze,https://www.duden.de/rechtschreibung/Fotze,"Duden markiert den Ausdruck als vulgär und beleidigend."
